killed_by,killer_placement,killer_position_x,killer_position_y,victim_placement,victim_position_x,victim_position_y,vektorX,vektorY,vzdialenost
Kar98k,7.0,692201,228257,10.0,695796,234095,3595,5838,6856
AKM,32.0,337475,171050,46.0,337270,173306,205,2256,2265
Kar98k,1.0,653962,217342,9.0,644658,204162,9304,13180,16133
AKM,42.0,324832,399160,46.0,324748,398881,84,279,291
AKM,58.0,294910,440989,83.0,294734,441043,176,54,184
Kar98k,3.0,197848,325818,30.0,190448,316879,7400,8939,11604
AKM,36.0,143728,331048,52.0,157824,347716,14096,16668,21829
AKM,1.0,308825,380872,16.0,304606,406384,4219,25512,25858
AKM,2.0,416136,411135,18.0,422221,414125,6085,2990,6779
AKM,39.0,200302,286634,71.0,199892,286618,410,16,410
Kar98k,2.0,348039,437311,5.0,343710,434837,4329,2474,4986
Kar98k,2.0,412875,414813,14.0,412781,423367,94,8554,8554
AKM,2.0,572831,420751,45.0,553103,422279,19728,1528,19787
AKM,5.0,373961,359215,40.0,373962,359292,1,77,77
AKM,18.0,607693,596110,87.0,607892,596655,199,545,580
AWM,11.0,345814,440588,12.0,372239,430929,26425,9659,28134
AKM,2.0,548420,421712,50.0,546493,420808,1927,904,2128
AKM,5.0,389526,352971,48.0,390192,353686,666,715,977
AKM,2.0,348494,437473,3.0,346321,437864,2173,391,2207
Kar98k,2.0,364190,444106,10.0,362235,463587,1955,19481,19578
AKM,39.0,200673,277455,94.0,198508,279949,2165,2494,3302
AKM,39.0,197338,277328,90.0,197482,276125,144,1203,1211
AKM,1.0,171517,353269,36.0,172423,354057,906,788,1200
AKM,2.0,361681,437788,6.0,362718,437591,1037,197,1055
AKM,1.0,206614,378641,32.0,207792,378331,1178,310,1218
AKM,49.0,367264,510579,81.0,367238,508867,26,1712,1712
AKM,53.0,291022,449242,58.0,290677,447889,345,1353,1396
AKM,22.0,636037,615685,43.0,636254,614607,217,1078,1099
AKM,11.0,280575,520070,67.0,280884,521186,309,1116,1157
M24,24.0,375362,535165,25.0,351606,511570,23756,23595,33482
Kar98k,9.0,415606,511895,22.0,405241,514807,10365,2912,10766
AKM,31.0,369274,269309,39.0,371049,268973,1775,336,1806
AKM,11.0,266204,523013,32.0,266024,523082,180,69,192
AKM,10.0,561051,501869,10.0,560835,502260,216,391,446
AKM,5.0,587873,451449,10.0,577407,459423,10466,7974,13157
AKM,11.0,588185,451139,12.0,588639,451544,454,405,608
Kar98k,2.0,642847,372877,3.0,649196,371032,6349,1845,6611
AKM,11.0,586494,454156,12.0,587635,451933,1141,2223,2498
AKM,35.0,468587,640617,19.0,468584,641274,3,657,657
AKM,3.0,666576,309384,16.0,666549,309741,27,357,358
Kar98k,4.0,670482,308564,10.0,675708,323466,5226,14902,15791
AKM,3.0,666288,309313,16.0,666574,309472,286,159,327
AKM,23.0,628195,383887,29.0,627972,383120,223,767,798
Kar98k,2.0,623848,388171,14.0,614983,367539,8865,20632,22455
AKM,33.0,439322,636076,34.0,437724,623194,1598,12882,12980
AKM,23.0,628233,384075,29.0,627412,383834,821,241,855
AKM,5.0,489925,443736,25.0,490677,441146,752,2590,2696
AKM,18.0,599786,467991,30.0,600137,468503,351,512,620
