player_dist_ride,player_dist_walk,player_dmg,player_kills,team_id,team_placement,top3
2887.113,1393.0148900000002,0,0,100015,9,0
0.0,103.88546,9,0,100020,92,0
1051.18018,990.6252,100,1,100026,19,0
7011.139,2983.44287,122,1,100031,7,0
0.0,51.4907379,0,0,100032,84,0
0.0,116.32546200000002,144,0,100035,69,0
0.0,665.3336,0,0,100039,55,0
1340.36426,1525.8726800000002,0,0,100040,17,0
227.358215,3281.41113,763,8,100047,10,0
0.0,580.7515,91,1,100050,42,0
0.0,124.47418200000001,0,0,100051,72,0
1098.2055699999999,512.2043,104,1,100052,56,0
4023.422,1947.84424,100,1,100057,16,0
0.0,80.43839,0,0,100062,83,0
1030.5415,2745.42944,457,3,100063,4,0
0.0,3823.6193799999996,123,1,100073,13,0
0.0,149.73147600000001,0,0,100074,71,0
0.0,1111.99011,328,3,100096,35,0
0.0,14.1334276,0,0,100000,99,0
0.0,46.4226379,0,0,100007,91,0
1266.183,752.8246,198,2,100010,34,0
0.0,867.1224369999999,0,0,100012,52,0
1197.87939,1425.07666,0,0,100013,24,0
877.1806,1949.85608,241,2,100017,5,0
0.0,0.0,0,0,100019,94,0
0.0,4303.500489999999,200,2,100023,6,0
2543.0918,1306.3479,148,1,100024,38,0
0.0,109.496048,99,1,100028,63,0
0.0,0.0,0,0,100033,94,0
0.0,441.829132,24,0,100041,50,0
0.0,142.5956,0,0,100044,58,0
4045.64648,2245.79468,1225,13,100045,1,1
3163.3627899999997,1703.72217,206,2,100055,22,0
0.0,1502.92969,339,3,100070,21,0
462.08737199999996,695.6742,0,0,100071,45,0
126.803978,484.0951,0,0,100075,67,0
0.0,257.211945,0,0,100077,61,0
686.335144,2838.9841300000003,52,0,100080,14,0
0.0,158.586227,100,1,100082,68,0
840.380066,1139.21118,30,0,100083,29,0
0.0,44.0937729,0,0,100085,86,0
755.589355,1967.0686,62,0,100086,32,0
427.765656,1531.7323,278,2,100087,44,0
0.0,69.46551509999999,0,0,100090,93,0
0.0,569.95105,174,2,100094,46,0
0.0,22.6114845,69,0,100004,75,0
0.0,193.667435,39,0,100008,78,0
0.0,0.0,0,0,100022,96,0
0.0,145.296219,81,0,100025,64,0
0.0,186.1552,100,1,100029,66,0
1183.41589,2927.99023,0,0,100030,12,0
0.0,104.37248199999999,56,0,100034,70,0
0.0,90.7177353,0,0,100042,89,0
0.0,70.4108353,0,0,100058,80,0
0.0,1178.68286,0,0,100060,49,0
0.0,126.329567,9,0,100065,85,0
967.3027,1952.63208,0,0,100066,25,0
0.0,224.079056,0,0,100069,87,0
0.0,130.312424,0,0,100072,76,0
